user id,movie name,movie id,user rate,movie desc
59014,Raging Bull,81398,9,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
59014,Pulp Fiction,110912,9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
59014,The Matrix Revolutions,242653,3,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
60169,Hitler - Eine Karriere,191182,6,"This meticulously assembled film dissects the Third Reich with an analytical blade, charting Hitler's improbable rise, his mastery of crowd psychology and his consummate skill in exploiting others' weaknesses."
60169,We Were Soldiers,277434,1,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news."
60169,Srpski film,1273235,9,"An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
60169,Wounds,5913798,7,Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.
60169,Vivarium,8368406,5,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.
278527, Monk:,312172,6,"Adrian Monk is a brilliant San Francisco detective, whose obsessive compulsive disorder just happens to get in the way."
278527,The Thing on the Doorstep,2193450,6,"A psychological horror film based on the short story by H.P. Lovecraft. Daniel Upton's relationship with his friend Edward Derby is abruptly changed after Edward becomes romantically involved with Asenath Waite, a hypnotist with an odd reputation. As Edward's behavior becomes more erratic and events unexplainable, Daniel investigates. Is it madness...or something far more terrifying?"
556667,The Wizard of Oz,32138,9,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
556667,How to Murder Your Wife,58212,4,A dedicated bachelor drunkenly marries a young woman and immediately lives to regret it.
556667,The 10th Kingdom,207275,7,"A father and daughter are caught in a parallel universe where the great Queens Snow White (Camryn Manheim), Cinderella (Ann-Margret), and Riding Hood III (Kim Thomson) have had their kingdoms fragmented by warring trolls, giants, and goblins."
556667,Harry Potter and the Half-Blood Prince,417741,8,"As Harry Potter (<a href='/name/nm0705356/?ref_='>Daniel Radcliffe</a>) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (<a href='/name/nm0000146/?ref_='>Ralph Fiennes</a>') dark past."
556667,Harry Potter and the Deathly Hallows: Part 1,926084,7,"As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
1515595,Pulp Fiction,110912,10,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
1839938,Spenser Confidential,8629748,1,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals."
2373030,Jason and the Argonauts,57197,8,The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.
2373030,The Heroes of Telemark,59263,8,Norwegian resistance tries to stop German efforts to produce an atomic bomb component during World War II.
2373030,Rooster Cogburn,73636,7,Marshal Rooster Cogburn unwillingly teams up with Eula Goodnight to track down her father's murderers.
2373030,Escape to Athena,79117,7,"A World War II adventure, involving a group of Allied P.O.W.s, Nazis, black market priceless art treasures, Greek resistance, a Greek monastery, and a secret German rocket base."
2373030,Love and Bullets,79488,4,Arizona cop is sent to Switzerland to bring in the girlfriend of a dangerous mobster so she can testify against him. The mobster sends someone too - assassins.
2373030,To Live and Die in L.A.,90180,8,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.
2373030,Band of the Hand,90693,5,Five juvenile lost causes are sent to the Everglades where a war veteran tries to reform them using survival tactics. Their new skills and resolve are tested when a Miami drug lord targets them for trying to clean up their neighborhood.
2373030,Assassination,92585,5,"A presidential bodyguard is assigned to protect an objecting first lady, as repeated attempts are made on her life."
2373030,Lonesome Dove,96639,10,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.
2373030,The General's Daughter,144214,6,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point."
2373030,The Pledge,237572,6,A retiring police detective pledges to catch the killer of a young child.
2373030,Mr. & Mrs. Smith,356910,8,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
2373030,The Da Vinci Code,382625,5,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
2373030,Alita: Battle Angel,437086,8,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is."
2373030,Burn After Reading,887883,8,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
2373030,Shutter Island,1130884,5,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
2373030,30 Days of Night: Dark Days,1320304,5,"After surviving the incidents in Barrow, Alaska, Stella Oleson relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben."
2373030,Skyline,1564585,6,"Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth."
2373030,The Outsider,2198241,7,"The plot revolves around British military contractor Lex Walker, who is told his daughter has died. When he arrives in Los Angeles and discovers the body is not hers, he begins an investigation."
2373030,Jack Ryan,5057054,10,"An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit."
2373030,I Don't Feel at Home in This World Anymore.,5710514,8,"When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals."
2373030,Dragged Across Concrete,6491178,8,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation."
2373030,6 Underground,8106534,8,"Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future."
